Contrato,Predicao_Fraude,Valor_Renda,QT_Dias_Atraso,Total_Pago
322068935715,0,5800.0,,7717.08
322068936715,0,2000.0,103.0,6756.59
322068938715,0,4000.0,,17929.06
322068939715,1,1800.0,376.0,369.1
322068940715,0,2800.0,,11845.24
322068943715,0,2000.0,41.0,4820.29
322068944715,1,5000.0,133.0,3723.82
322068945715,1,2500.0,406.0,6628.64
322068947715,0,10000.0,,22720.8
322068948715,0,3000.0,,22671.67
322068949715,1,2500.0,406.0,625.33
322068950715,1,3300.0,406.0,934.0
322068951715,1,2800.0,225.0,5720.47
322068952715,1,2000.0,251.0,1810.93
322068954715,0,4200.0,,4797.1
322068958715,1,3500.0,251.0,4131.99
322068959715,0,5000.0,71.0,7625.66
322068961715,1,3200.0,406.0,2816.1
322068965715,1,3200.0,251.0,3370.79
322068966715,1,3500.0,376.0,1722.61
322068970715,1,2500.0,406.0,412.67
322068972715,1,1250.0,406.0,370.0
322068973715,0,6000.0,,22114.68
322068974715,1,1800.0,406.0,297.68
322068975715,0,10000.0,,8812.68
322068978715,1,7000.0,376.0,1244.18
322068979715,1,3774.0,194.0,3280.0
322068980715,1,1300.0,376.0,570.0
322068981715,1,4000.0,406.0,642.15
322068982715,0,4600.0,,13733.66
322068983715,0,3000.0,,7256.64
322068984715,1,10058.0,251.0,7619.04
322068985715,1,10058.0,251.0,7619.04
322068986715,0,4000.0,,17059.52
322068988715,1,4500.0,406.0,625.33
322068990715,1,2100.0,315.0,1110.0
322068991715,1,6000.0,284.0,2096.75
322068993715,0,4500.0,,49285.11
322068994715,0,2800.0,,33085.9
322068996715,1,3500.0,376.0,747.65
322068997715,0,1630.0,,4214.33
322068999715,0,20000.0,,17090.86
322069003715,1,2000.0,406.0,275.0
322069005715,0,2500.0,,6336.66
322069008715,1,3000.0,344.0,677.13
322069013715,1,1450.0,376.0,954.1
322069014715,1,20000.0,315.0,4483.2
322069016715,0,2000.0,225.0,8570.21
322069017715,1,2500.0,406.0,183.76
322069018715,1,20000.0,315.0,4483.2
322069019715,1,2800.0,376.0,369.1
322069021715,0,4000.0,344.0,2274.3
322069024715,0,14000.0,,31072.59
322069025715,1,2500.0,406.0,410.23
322069026715,1,1500.0,315.0,1968.52
322069027715,0,3500.0,,5606.97
322069029715,0,6000.0,,74106.74
322069030715,1,4590.0,406.0,527.63
322069031715,1,4000.0,406.0,559.9
322069033715,1,2000.0,284.0,1496.74
322069036715,1,2500.0,406.0,390.83
322069038715,1,3000.0,406.0,492.13
322069040715,0,1400.0,,4777.14
322069041715,0,25000.0,,42039.55
322069042715,0,25000.0,,42365.51
322069044715,1,5000.0,284.0,1954.15
322069045715,1,4800.0,406.0,1376.09
322069048715,0,1200.0,,5622.09
322069051715,1,2000.0,406.0,429.92
322069053715,0,2000.0,,8298.99
322069055715,0,6000.0,,74167.7
322069056715,1,1600.0,376.0,344.49
322069059715,0,9000.0,,33952.75
322069060715,0,4523.25,71.0,4064.58
322069061715,0,3500.0,,37160.94
322069064715,1,3000.0,376.0,1854.6
322069065715,1,1800.0,406.0,344.88
322069069715,0,6000.0,,17515.65
322069071715,0,1900.0,,4176.7
322069073715,0,2200.0,,6307.17
322069076715,1,2000.0,376.0,512.02
322069080715,1,1900.0,376.0,547.5
322069083715,1,8000.0,406.0,429.92
322069084715,0,4700.0,,14564.47
322069085715,1,5000.0,251.0,2222.25
322069086715,0,1800.0,,6411.88
322069087715,0,2500.0,,9116.03
322069091715,1,3200.0,315.0,2704.06
322069092715,1,1801.0,376.0,726.0
322069093715,1,3000.0,315.0,861.22
322069094715,0,2000.0,,4433.73
322069096715,1,3800.0,315.0,3082.44
322069097715,0,2300.0,71.0,1228.26
322069103715,1,3000.0,376.0,1110.0
322069111715,1,3000.0,406.0,481.0
322069118715,1,3000.0,406.0,413.31
322069125715,0,3500.0,,29290.22
322069126715,0,1200.0,11.0,3761.81
322069128715,1,4000.0,162.0,3321.9
322069130715,1,3000.0,406.0,516.0
322069132715,1,1865.0,251.0,2799.48
322069133715,1,2800.0,406.0,485.0
322069135715,1,2550.0,284.0,2542.75
322069138715,0,1600.0,,3849.46
322069139715,1,2000.0,284.0,3217.5
322069141715,1,1380.0,406.0,426.0
322069143715,1,5500.0,133.0,1857.07
322069145715,1,2800.0,344.0,1125.99
322069148715,0,2000.0,,5336.47
322069150715,0,1200.0,,5937.19
322069156715,1,8000.0,376.0,4004.59
322069172715,0,2200.0,,12521.37
322069173715,1,3500.0,406.0,666.82
322069174715,1,3000.0,406.0,940.37
322069175715,0,5000.0,,5642.07
322069177715,1,3750.0,406.0,375.33
322069178715,0,2000.0,,18457.95
322069179715,0,3600.0,,49410.77
322069180715,1,1500.0,376.0,750.66
322069181715,1,800.0,344.0,508.45
322069185715,1,2000.0,376.0,375.33
322069188715,1,2300.0,162.0,4474.0
322069189715,1,6000.0,315.0,4374.69
322069193715,1,3000.0,376.0,750.66
322069194715,1,3000.0,376.0,750.66
322069195715,1,2000.0,406.0,369.1
