Contrato,Predicao_Fraude
322090928715,1
321990634715,1
321965373715,1
321967133715,0
322098744715,1
322091640715,1
322010858715,0
322011093715,0
322082506715,0
322051550715,0
322093571715,0
322010855715,1
322015571715,0
322054863715,1
322022557715,1
321955400715,1
322089298715,1
322030512715,0
322049924715,1
322079553715,0
322087673715,0
322028342715,0
322082027715,1
321986695715,1
321957447715,1
321971300715,1
321986471715,1
322026532715,0
321957466715,1
322051381715,1
322008511715,1
322071478715,1
322012980715,1
322037954715,1
321970418715,0
321959220715,1
322022827715,1
322093589715,0
322027977715,1
322074927715,0
322068675715,0
321960975715,0
322086640715,0
322008241715,1
322064995715,0
321996793715,1
322073674715,1
322047797715,1
322032419715,0
322067736715,1
321996989715,1
321964338715,1
322029625715,1
322040631715,0
322034335715,0
322039785715,1
322062134715,1
321994950715,1
321993642715,0
321976230715,1
322079216715,1
322032263715,1
322046044715,0
322000780715,1
322073531715,0
322073557715,0
321969343715,0
322015880715,0
321986546715,1
322074791715,0
322053800715,1
321966244715,1
321956024715,0
322036453715,0
322050416715,1
322064582715,1
322073323715,1
321980960715,1
321999512715,1
322000203715,1
322033185715,1
322031385715,0
322081556715,1
322013738715,1
322011837715,1
321948717715,1
322020255715,1
321961024715,0
322090442715,1
322023285715,1
321948301715,1
321992412715,1
321967754715,1
322031092715,0
321954153715,1
321980468715,0
321998593715,1
321965493715,1
322096614715,0
322035697715,0
322057690715,0
322016278715,0
321997933715,1
321947391715,1
322077316715,1
322081413715,0
322046370715,1
322027160715,0
321974308715,0
321977994715,1
322008298715,1
321974718715,0
322098140715,0
322066279715,1
321977144715,1
322071047715,0
322058338715,0
322032004715,0
321986242715,0
321955345715,1
321989114715,1
322095774715,1
322014908715,1
322066446715,1
322077564715,0
322071724715,1
321946063715,1
322018009715,1
321989042715,1
322025132715,1
321966747715,1
321954333715,1
321994484715,0
322083862715,1
322082059715,1
321967728715,0
321967288715,1
321967965715,0
321969042715,1
322080156715,0
322084726715,1
322085944715,1
322013297715,0
322029052715,0
321993122715,1
322044218715,1
322068294715,1
322016884715,1
322017722715,1
322042353715,0
322042945715,1
321996373715,0
321953646715,1
321954621715,1
321996008715,1
322013018715,0
322062093715,0
322056144715,1
322002814715,1
322034356715,1
322074671715,1
321965861715,1
322083612715,1
322050189715,0
321975378715,1
322010123715,1
321971665715,1
322044681715,0
321980083715,1
321955010715,1
322031675715,0
322086223715,0
322081951715,0
322060668715,0
321947612715,1
322007234715,1
321995476715,0
322051241715,0
321957796715,1
322027610715,1
321990168715,1
322042276715,1
322087400715,0
322000818715,0
322094454715,0
321959036715,1
321964137715,0
321966616715,1
322073866715,0
322031888715,0
321979650715,1
322082103715,1
322043412715,1
322096939715,0
322007176715,0
322057914715,0
322013202715,1
322081839715,0
322062153715,1
321995310715,0
322010765715,1
321969780715,1
321953854715,1
322023789715,0
321989546715,0
322037468715,1
322038013715,1
321992457715,1
321989211715,0
322042230715,0
321990355715,1
322083037715,1
322011401715,1
322059933715,1
321957854715,0
322094410715,0
322097555715,1
322029075715,0
322075546715,1
322014895715,0
321969358715,1
322052186715,1
321954437715,0
321972387715,0
321958407715,1
322044767715,1
321960325715,1
322020048715,1
322024649715,1
322091488715,0
322050451715,0
322024608715,1
322060835715,0
322035911715,0
322007525715,1
322004637715,1
322033760715,0
322043955715,0
322041425715,0
322044537715,0
321959185715,1
322056123715,0
322089260715,1
321999148715,1
322038444715,0
322057970715,0
322042571715,1
321953455715,1
322065885715,0
322019597715,0
322076677715,1
322081237715,1
321981873715,0
322031269715,1
322096281715,0
322094509715,0
322058837715,1
321995007715,1
322026717715,0
322055021715,1
321970771715,1
322081258715,0
321984501715,0
322009690715,0
322033175715,0
322012827715,1
321990602715,0
322000470715,1
322001040715,1
322011359715,1
322058550715,0
322037891715,0
322064737715,0
321962809715,0
322076062715,1
322028864715,0
321958367715,1
321965400715,0
321993529715,1
322044420715,0
321970496715,1
321961568715,0
322050843715,0
321978722715,1
321974847715,0
322081358715,0
322007242715,1
322066545715,0
321949592715,1
322031019715,0
322046730715,1
322026161715,1
322087087715,1
322087348715,0
321953215715,0
322049883715,0
322082556715,0
321970259715,1
322062322715,1
322037544715,0
322066181715,0
321959133715,0
322072805715,0
322022107715,0
321992505715,0
322061224715,1
322063215715,1
322019823715,1
322039958715,1
322038054715,1
321966703715,0
321970609715,0
322038035715,1
322030758715,0
322042060715,1
322043052715,0
322054620715,0
321998709715,0
321951967715,1
322058547715,0
322011051715,0
321960929715,1
322087377715,0
322076754715,1
322098628715,0
321971547715,1
322090182715,1
322063266715,1
321976931715,0
322091072715,1
322030280715,1
321977761715,1
321948519715,1
322096557715,0
322080098715,1
321977433715,1
321999276715,1
322079293715,0
321975904715,1
322007288715,1
322016706715,1
322093451715,0
322083046715,0
322016753715,1
322065008715,0
322014985715,0
322086251715,0
322042907715,1
322045184715,1
322034394715,1
322017005715,1
322049675715,1
321972576715,1
321967942715,1
322035389715,0
322069434715,1
322072801715,1
321953396715,1
322089317715,1
322014821715,1
322043903715,1
322010102715,1
322054306715,0
322097768715,0
321996077715,1
321964925715,1
322093027715,1
322021235715,1
321966370715,1
321977695715,1
322092587715,0
321980693715,1
322063702715,0
321955856715,1
322098383715,1
321978079715,1
321990174715,1
322023692715,1
321958500715,1
321983604715,0
321972581715,0
321995090715,0
321975734715,1
321991536715,1
322099651715,1
321973382715,0
322020906715,0
321953562715,1
322003502715,0
322055805715,0
321958057715,1
322095893715,0
322018614715,0
321949415715,1
322088487715,1
321989402715,1
321977530715,1
321955370715,1
322004135715,1
322062303715,0
322037121715,1
322083674715,0
322041180715,0
322014739715,1
322022094715,1
322082768715,1
322059033715,0
321962893715,0
322051457715,1
321950448715,1
321958518715,1
322011710715,1
322056700715,1
322003087715,0
322071158715,0
321989369715,1
321988163715,0
321973954715,0
322064832715,1
322091645715,1
322061196715,0
322034227715,0
322028333715,1
